,an,brand,modelo,prices.amountMax,prices.amountMin,prices.isSale
87,2021,nike,others,80.0,80.0,False
88,2021,nike,others,100.0,100.0,False
89,2021,nike,others,250.0,250.0,False
90,2021,nike,others,275.0,275.0,False
91,2021,nike,others,85.0,85.0,False
92,2021,nike,others,110.0,110.0,False
93,2021,nike,air max,130.0,97.97,False
94,2021,nike,others,110.0,110.0,False
95,2021,nike,others,85.0,85.0,False
96,2021,nike,court tennis,65.0,65.0,False
97,2021,nike,air max,90.0,58.97,True
98,2021,nike,others,140.0,140.0,False
99,2021,nike,others,60.0,43.97,True
100,2021,nike,in-season,75.0,59.97,True
101,2021,nike,racing,100.0,64.97,False
102,2021,nike,others,90.0,90.0,False
103,2021,nike,court tennis,75.0,75.0,False
104,2021,nike,others,230.0,207.97,True
105,2021,nike,sb skate,85.0,85.0,False
106,2021,nike,sb skate,85.0,85.0,False
107,2021,nike,sb skate,95.0,95.0,False
108,2021,nike,sb skate,105.0,105.0,False
109,2021,nike,others,40.0,27.97,True
110,2021,nike,sb skate,60.0,60.0,False
111,2021,nike,others,110.0,110.0,False
112,2021,nike,others,80.0,80.0,False
113,2021,nike,others,180.0,180.0,False
114,2021,nike,others,100.0,100.0,False
115,2021,nike,others,80.0,80.0,False
116,2021,nike,others,60.0,54.97,True
117,2021,nike,court tennis,135.0,135.0,False
118,2021,nike,sb skate,75.0,75.0,False
119,2021,nike,others,80.0,80.0,False
120,2021,nike,others,65.0,65.0,False
121,2021,nike,others,80.0,72.97,True
122,2021,nike,others,110.0,110.0,False
123,2021,nike,others,90.0,84.97,True
124,2021,nike,air max,140.0,98.97,False
125,2021,nike,others,85.0,85.0,False
126,2021,nike,others,140.0,101.97,True
127,2021,nike,others,65.0,55.97,True
128,2021,nike,others,100.0,100.0,False
129,2021,nike,others,70.0,50.97,True
130,2021,nike,others,65.0,65.0,False
131,2021,nike,others,50.0,50.0,False
132,2021,nike,sb skate,60.0,60.0,False
133,2021,nike,others,60.0,60.0,False
134,2021,nike,others,65.0,65.0,False
135,2021,nike,court tennis,120.0,120.0,False
136,2021,nike,others,160.0,160.0,False
137,2021,nike,others,80.0,80.0,False
138,2021,nike,others,120.0,120.0,False
139,2021,nike,sb skate,100.0,100.0,False
140,2021,nike,others,130.0,130.0,False
141,2021,nike,others,140.0,140.0,False
142,2021,nike,others,130.0,130.0,False
